Wojewodztwa,Rok,Ogolem,Chlopcy,Dziewczynki
Dolnoslaskie,2002,24588,12747,11841
Kujawsko-pomorskie,2002,20238,10372,9866
Lubelskie,2002,20908,10725,10183
Lubuskie,2002,9486,4894,4592
Lodzkie,2002,22258,11428,10830
Malopolskie,2002,32451,16547,15904
Mazowieckie,2002,46627,24012,22615
Opolskie,2002,8506,4368,4138
Podkarpackie,2002,21414,11052,10362
Podlaskie,2002,11318,5859,5459
Pomorskie,2002,22402,11428,10974
Slaskie,2002,39557,20474,19083
Swietokrzyskie,2002,11837,6079,5758
Warminsko-mazurskie,2002,14894,7800,7094
Wielkopolskie,2002,33253,17111,16142
Zachodniopomorskie,2002,15789,8148,7641
