Wojewodztwa,Rok,Ogolem,Chlopcy,Dziewczynki
Dolnoslaskie,2017,28401,14500,13901
Kujawsko-pomorskie,2017,20900,10918,9982
Lubelskie,2017,20898,10633,10265
Lubuskie,2017,10300,5327,4973
Lodzkie,2017,23782,12122,11660
Malopolskie,2017,38161,19725,18436
Mazowieckie,2017,61850,31901,29949
Opolskie,2017,9083,4629,4454
Podkarpackie,2017,21927,11302,10625
Podlaskie,2017,12054,6158,5896
Pomorskie,2017,27481,14062,13419
Slaskie,2017,44971,23093,21878
Swietokrzyskie,2017,10915,5577,5338
Warminsko-mazurskie,2017,14533,7361,7172
Wielkopolskie,2017,40450,20775,19675
Zachodniopomorskie,2017,16276,8327,7949
