Wojewodztwa,Rok,Ogolem,Chlopcy,Dziewczynki
Dolnoslaskie,2023,19597,9967,9630
Kujawsko-pomorskie,2023,13567,6870,6697
Lubelskie,2023,13536,6908,6628
Lubuskie,2023,6509,3364,3145
Lodzkie,2023,16440,8565,7875
Malopolskie,2023,28397,14498,13899
Mazowieckie,2023,45050,23100,21950
Opolskie,2023,6199,3082,3117
Podkarpackie,2023,14933,7710,7223
Podlaskie,2023,8312,4265,4047
Pomorskie,2023,19197,9769,9428
Slaskie,2023,27755,14199,13556
Swietokrzyskie,2023,7259,3680,3579
Warminsko-mazurskie,2023,8515,4353,4162
Wielkopolskie,2023,27625,14261,13364
Zachodniopomorskie,2023,10478,5363,5115
